n = 26.  s = 19.06957+
n = 27.  s = 19.25487+
n = 28.  s = 19.29089+
n = 29.  s = 20.44307+
n = 30.  s = 20.83226+
n = 31.  s = 21.13031+
n = 32.  s = 21.41614+
n = 33.  s = 21.52869+
n = 34.  s = 21.63186+
n = 35.  s = 21.74818+
n = 36.  s = 21.78662+
n = 37.  s = 22.94355+
n = 38.  s = 23.24621+
n = 39.  s = 23.51624+
n = 40.  s = 23.77374+
n = 41.  s = 23.92719+
n = 42.  s = 23.96582+
n = 43.  s = 24.13333+
n = 44.  s = 24.24709+
n = 45.  s = 24.28027+
n = 46.  s = 25.35947+
n = 47.  s = 25.71783+
n = 48.  s = 25.90279+
n = 49.  s = 26.05666+
n = 50.  s = 26.16196+
